"MetWatch daily weather data for Kumeu, Auckland"
"Start Date","Max Air Temp. (°C)","Min Air Temp. (°C)","Mean Air Temp. (°C)","Rainfall (mm)","Evapo-transpiration (mm/d)","Backup Data","Missing Data"
"Fri 1st Jan 2016",-,-,-,-,-,,All
"Sat 2nd Jan 2016",-,-,-,-,-,,All
"Sun 3rd Jan 2016",-,-,-,-,-,,All
"Mon 4th Jan 2016",-,-,-,-,-,,All
"Tue 5th Jan 2016",-,-,-,-,-,,All
"Wed 6th Jan 2016",-,-,-,-,-,,All
"Thu 7th Jan 2016",-,-,-,-,-,,All
"Fri 8th Jan 2016",-,-,-,-,-,,All
"Sat 9th Jan 2016",-,-,-,-,-,,All
"Sun 10th Jan 2016",-,-,-,-,-,,All
"Mon 11th Jan 2016",-,-,-,-,-,,All
"Tue 12th Jan 2016",-,-,-,-,-,,All
"Wed 13th Jan 2016",-,-,-,-,-,,All
"Thu 14th Jan 2016",-,-,-,-,-,,All
"Fri 15th Jan 2016",-,-,-,-,-,,All
"Sat 16th Jan 2016",-,-,-,-,-,,All
"Sun 17th Jan 2016",-,-,-,-,-,,All
"Mon 18th Jan 2016",-,-,-,-,-,,All
"Tue 19th Jan 2016",-,-,-,-,-,,All
"Wed 20th Jan 2016",-,-,-,-,-,,All
"Thu 21st Jan 2016",-,-,-,-,-,,All
"Fri 22nd Jan 2016",-,-,-,-,-,,All
"Sat 23rd Jan 2016",-,-,-,-,-,,All
"Sun 24th Jan 2016",-,-,-,-,-,,All
"Mon 25th Jan 2016",-,-,-,-,-,,All
"Tue 26th Jan 2016",-,-,-,-,-,,All
"Wed 27th Jan 2016",-,-,-,-,-,,All
"Thu 28th Jan 2016",-,-,-,-,-,,All
"Fri 29th Jan 2016",-,-,-,-,-,,All
"Sat 30th Jan 2016",-,-,-,-,-,,All
"Sun 31st Jan 2016",-,-,-,-,-,,All
"Mon 1st Feb 2016",-,-,-,-,-,,All
"Tue 2nd Feb 2016",-,-,-,-,-,,All
"Wed 3rd Feb 2016",-,-,-,-,-,,All
