"MetWatch hourly weather data for Kumeu, Auckland"
Date,Time,"Air Temp. (°C)","Rainfall (mm)","Leaf Wetness (%)","Relative Humidity (%)","Wind Speed (km/h)","Wind Direction","Spray Drift Risk","Backup Data","Missing Data"
"Wed 1st Jan 2020","12 - 1am",13.1,0.0,93.0,97.5,0.0,N,"Not Recommended",,
"Wed 1st Jan 2020","1 - 2am",12.2,0.0,93.3,98.5,0.4,W,"Not Recommended",,
"Wed 1st Jan 2020","2 - 3am",11.7,0.0,94.2,99.1,0.3,N,"Not Recommended",,
"Wed 1st Jan 2020","3 - 4am",11.1,0.0,96.2,99.6,0.1,NE,"Not Recommended",,
"Wed 1st Jan 2020","4 - 5am",10.6,0.0,97.2,99.9,0.3,NE,"Not Recommended",,
"Wed 1st Jan 2020","5 - 6am",11.7,0.0,97.8,100.0,0.3,S,"Not Recommended",,
"Wed 1st Jan 2020","6 - 7am",13.1,0.0,98.2,100.0,0.3,S,"Not Recommended",,
"Wed 1st Jan 2020","7 - 8am",14.8,0.0,99.1,99.7,0.0,S,"Not Recommended",,
"Wed 1st Jan 2020","8 - 9am",17.0,0.0,75.7,94.7,2.3,W,"Not Recommended",,
"Wed 1st Jan 2020","9 - 10am",18.6,0.0,3.9,83.6,6.0,SW,"Best Conditions",,
"Wed 1st Jan 2020","10 - 11am",19.2,0.0,1.5,80.6,10.3,SW,"Best Conditions",,
"Wed 1st Jan 2020","11 - 12pm",19.8,0.0,0.7,77.4,11.9,SW,"Best Conditions",,
"Wed 1st Jan 2020","12 - 1pm",20.2,0.0,0.4,75.3,13.9,SW,"Best Conditions",,
"Wed 1st Jan 2020","1 - 2pm",20.5,0.0,0.2,72.7,14.5,SW,"Best Conditions",,
"Wed 1st Jan 2020","2 - 3pm",20.0,0.0,0.2,74.7,14.1,SW,"Best Conditions",,
"Wed 1st Jan 2020","3 - 4pm",19.4,0.0,0.4,76.6,13.4,SW,"Best Conditions",,
"Wed 1st Jan 2020","4 - 5pm",19.4,0.0,0.4,76.5,13.2,SW,"Best Conditions",,
"Wed 1st Jan 2020","5 - 6pm",19.4,0.0,0.3,75.1,13.4,SW,"Best Conditions",,
"Wed 1st Jan 2020","6 - 7pm",18.7,0.0,0.6,76.1,11.1,SW,"Best Conditions",,
"Wed 1st Jan 2020","7 - 8pm",17.9,0.0,2.5,78.4,12.0,SW,"Best Conditions",,
"Wed 1st Jan 2020","8 - 9pm",16.4,0.0,27.7,83.8,11.6,SW,"Best Conditions",,
"Wed 1st Jan 2020","9 - 10pm",16.3,0.0,31.0,83.2,11.3,SW,"Best Conditions",,
"Wed 1st Jan 2020","10 - 11pm",16.1,0.0,50.7,84.6,7.6,SW,"Best Conditions",,
"Wed 1st Jan 2020","11 - 12am",14.7,0.0,97.7,90.3,1.6,SW,"Not Recommended",,
"Thu 2nd Jan 2020","12 - 1am",15.4,0.0,81.8,89.7,5.5,SW,"Best Conditions",,
"Thu 2nd Jan 2020","1 - 2am",16.0,0.0,47.8,87.9,5.9,SW,"Best Conditions",,
"Thu 2nd Jan 2020","2 - 3am",16.1,0.0,25.0,86.4,9.0,SW,"Best Conditions",,
"Thu 2nd Jan 2020","3 - 4am",16.2,0.0,17.4,86.6,6.5,SW,"Best Conditions",,
"Thu 2nd Jan 2020","4 - 5am",16.2,0.0,15.3,86.5,8.1,SW,"Best Conditions",,
"Thu 2nd Jan 2020","5 - 6am",16.1,0.0,11.5,86.0,8.8,SW,"Best Conditions",,
"Thu 2nd Jan 2020","6 - 7am",15.5,0.0,47.1,88.1,4.5,SW,"Best Conditions",,
"Thu 2nd Jan 2020","7 - 8am",15.8,0.0,18.4,88.1,5.8,SW,"Best Conditions",,
"Thu 2nd Jan 2020","8 - 9am",16.8,0.0,1.9,85.3,10.0,SW,"Best Conditions",,
"Thu 2nd Jan 2020","9 - 10am",17.4,0.0,0.9,83.0,13.4,SW,"Best Conditions",,
"Thu 2nd Jan 2020","10 - 11am",18.4,0.0,0.4,79.3,15.0,SW,"Best Conditions",,
"Thu 2nd Jan 2020","11 - 12pm",19.5,0.0,0.2,75.9,15.3,SW,"Extreme Caution",,
"Thu 2nd Jan 2020","12 - 1pm",19.9,0.0,0.2,74.3,17.0,SW,"Extreme Caution",,
"Thu 2nd Jan 2020","1 - 2pm",19.6,0.0,0.2,76.0,18.5,SW,"Extreme Caution",,
"Thu 2nd Jan 2020","2 - 3pm",20.0,0.0,0.2,76.0,18.8,SW,"Extreme Caution",,
"Thu 2nd Jan 2020","3 - 4pm",19.7,0.0,0.2,79.0,17.0,SW,"Extreme Caution",,
"Thu 2nd Jan 2020","4 - 5pm",19.6,0.0,0.2,79.6,16.1,SW,"Extreme Caution",,
"Thu 2nd Jan 2020","5 - 6pm",19.2,0.0,0.2,79.9,17.4,SW,"Extreme Caution",,
"Thu 2nd Jan 2020","6 - 7pm",19.0,0.0,0.5,78.1,17.1,SW,"Extreme Caution",,
"Thu 2nd Jan 2020","7 - 8pm",18.5,0.0,0.9,78.5,15.9,SW,"Extreme Caution",,
"Thu 2nd Jan 2020","8 - 9pm",18.1,0.0,1.0,80.5,13.2,SW,"Best Conditions",,
"Thu 2nd Jan 2020","9 - 10pm",17.9,0.0,1.0,81.6,11.0,SW,"Best Conditions",,
"Thu 2nd Jan 2020","10 - 11pm",17.7,0.0,1.0,81.7,9.3,SW,"Best Conditions",,
"Thu 2nd Jan 2020","11 - 12am",17.6,0.0,1.1,84.1,7.3,SW,"Best Conditions",,
"Fri 3rd Jan 2020","12 - 1am",18.0,0.0,1.1,83.1,9.7,SW,"Best Conditions",,
"Fri 3rd Jan 2020","1 - 2am",18.3,0.0,1.1,83.4,10.8,SW,"Best Conditions",,
"Fri 3rd Jan 2020","2 - 3am",18.3,0.0,1.1,84.2,11.2,SW,"Best Conditions",,
"Fri 3rd Jan 2020","3 - 4am",18.4,0.0,1.2,85.8,12.7,SW,"Best Conditions",,
"Fri 3rd Jan 2020","4 - 5am",18.4,0.0,1.4,87.1,10.6,SW,"Best Conditions",,
"Fri 3rd Jan 2020","5 - 6am",18.4,0.0,1.4,87.3,9.4,SW,"Best Conditions",,
"Fri 3rd Jan 2020","6 - 7am",18.6,0.0,1.6,87.5,9.1,SW,"Best Conditions",,
"Fri 3rd Jan 2020","7 - 8am",19.4,0.0,1.1,85.1,10.3,W,"Best Conditions",,
"Fri 3rd Jan 2020","8 - 9am",19.8,0.0,1.1,85.2,14.4,SW,"Best Conditions",,
