"MetWatch hourly weather data for Kumeu, Auckland"
Date,Time,"Air Temp. (°C)","Rainfall (mm)","Leaf Wetness (%)","Relative Humidity (%)","Wind Speed (km/h)","Wind Direction","Spray Drift Risk","Backup Data","Missing Data"
"Fri 14th May 2021","12 - 1am",3.5,0.0,93.5,98.8,0.2,N,"Not Recommended",,
"Fri 14th May 2021","1 - 2am",3.0,0.0,95.1,99.2,0.1,N,"Not Recommended",,
"Fri 14th May 2021","2 - 3am",2.4,0.0,96.0,99.4,0.0,N,"Not Recommended",,
"Fri 14th May 2021","3 - 4am",2.0,0.0,96.6,99.6,0.0,N,"Not Recommended",,
"Fri 14th May 2021","4 - 5am",1.9,0.0,97.0,99.8,0.0,N,"Not Recommended",,
"Fri 14th May 2021","5 - 6am",1.7,0.0,97.2,99.9,0.0,N,"Not Recommended",,
"Fri 14th May 2021","6 - 7am",1.8,0.0,97.4,100.0,0.0,N,"Not Recommended",,
"Fri 14th May 2021","7 - 8am",2.2,0.0,97.8,100.0,0.0,N,"Not Recommended",,
"Fri 14th May 2021","8 - 9am",6.8,0.0,98.3,98.6,0.5,NE,"Not Recommended",,
"Fri 14th May 2021","9 - 10am",10.9,0.0,98.6,90.7,4.0,E,"Best Conditions",,
"Fri 14th May 2021","10 - 11am",13.8,0.0,39.7,77.6,7.2,E,"Best Conditions",,
"Fri 14th May 2021","11 - 12pm",15.2,0.0,0.2,75.2,9.3,NE,"Best Conditions",,
"Fri 14th May 2021","12 - 1pm",15.8,0.0,0.2,73.5,10.5,NE,"Best Conditions",,
"Fri 14th May 2021","1 - 2pm",16.0,0.0,0.2,72.1,11.4,NE,"Best Conditions",,
"Fri 14th May 2021","2 - 3pm",16.2,0.0,0.2,71.9,11.7,NE,"Best Conditions",,
"Fri 14th May 2021","3 - 4pm",15.7,0.0,0.3,74.5,9.9,NE,"Best Conditions",,
"Fri 14th May 2021","4 - 5pm",15.2,0.0,0.3,77.9,6.4,NE,"Best Conditions",,
"Fri 14th May 2021","5 - 6pm",14.9,0.0,0.3,82.0,3.9,NE,"Best Conditions",,
