datetime_mid,temp_C,rain_mm,wetness_percent,rel_humidity_percent,wind_speed_kmph,wind_direction,spray_drift_risk,backup_data,missing_data,year,month,day,start_hour,end_hour
2016-01-01 00:30:00,,,,,,,,,All,2016,1,1,0,1
2016-01-01 01:30:00,,,,,,,,,All,2016,1,1,1,2
2016-01-01 02:30:00,,,,,,,,,All,2016,1,1,2,3
2016-01-01 03:30:00,,,,,,,,,All,2016,1,1,3,4
2016-01-01 04:30:00,,,,,,,,,All,2016,1,1,4,5
2016-01-01 05:30:00,,,,,,,,,All,2016,1,1,5,6
2016-01-01 06:30:00,,,,,,,,,All,2016,1,1,6,7
2016-01-01 07:30:00,,,,,,,,,All,2016,1,1,7,8
2016-01-01 08:30:00,,,,,,,,,All,2016,1,1,8,9
2016-01-01 09:30:00,,,,,,,,,All,2016,1,1,9,10
2016-01-01 10:30:00,,,,,,,,,All,2016,1,1,10,11
2016-01-01 11:30:00,,,,,,,,,All,2016,1,1,11,12
2016-01-01 12:30:00,,,,,,,,,All,2016,1,1,12,13
2016-01-01 13:30:00,,,,,,,,,All,2016,1,1,13,14
2016-01-01 14:30:00,,,,,,,,,All,2016,1,1,14,15
2016-01-01 15:30:00,,,,,,,,,All,2016,1,1,15,16
2016-01-01 16:30:00,,,,,,,,,All,2016,1,1,16,17
2016-01-01 17:30:00,,,,,,,,,All,2016,1,1,17,18
2016-01-01 18:30:00,,,,,,,,,All,2016,1,1,18,19
2016-01-01 19:30:00,,,,,,,,,All,2016,1,1,19,20
2016-01-01 20:30:00,,,,,,,,,All,2016,1,1,20,21
2016-01-01 21:30:00,,,,,,,,,All,2016,1,1,21,22
2016-01-01 22:30:00,,,,,,,,,All,2016,1,1,22,23
2015-12-31 23:30:00,,,,,,,,,All,2015,12,31,-1,0
2016-01-02 00:30:00,,,,,,,,,All,2016,1,2,0,1
2016-01-02 01:30:00,,,,,,,,,All,2016,1,2,1,2
2016-01-02 02:30:00,,,,,,,,,All,2016,1,2,2,3
2016-01-02 03:30:00,,,,,,,,,All,2016,1,2,3,4
2016-01-02 04:30:00,,,,,,,,,All,2016,1,2,4,5
2016-01-02 05:30:00,,,,,,,,,All,2016,1,2,5,6
2016-01-02 06:30:00,,,,,,,,,All,2016,1,2,6,7
2016-01-02 07:30:00,,,,,,,,,All,2016,1,2,7,8
2016-01-02 08:30:00,,,,,,,,,All,2016,1,2,8,9
2016-01-02 09:30:00,,,,,,,,,All,2016,1,2,9,10
2016-01-02 10:30:00,,,,,,,,,All,2016,1,2,10,11
2016-01-02 11:30:00,,,,,,,,,All,2016,1,2,11,12
2016-01-02 12:30:00,,,,,,,,,All,2016,1,2,12,13
2016-01-02 13:30:00,,,,,,,,,All,2016,1,2,13,14
2016-01-02 14:30:00,,,,,,,,,All,2016,1,2,14,15
2016-01-02 15:30:00,,,,,,,,,All,2016,1,2,15,16
2016-01-02 16:30:00,,,,,,,,,All,2016,1,2,16,17
2016-01-02 17:30:00,,,,,,,,,All,2016,1,2,17,18
2016-01-02 18:30:00,,,,,,,,,All,2016,1,2,18,19
2016-01-02 19:30:00,,,,,,,,,All,2016,1,2,19,20
2016-01-02 20:30:00,,,,,,,,,All,2016,1,2,20,21
2016-01-02 21:30:00,,,,,,,,,All,2016,1,2,21,22
2016-01-02 22:30:00,,,,,,,,,All,2016,1,2,22,23
2016-01-01 23:30:00,,,,,,,,,All,2016,1,1,-1,0
2016-01-03 00:30:00,,,,,,,,,All,2016,1,3,0,1
2016-01-03 01:30:00,,,,,,,,,All,2016,1,3,1,2
2016-01-03 02:30:00,,,,,,,,,All,2016,1,3,2,3
2016-01-03 03:30:00,,,,,,,,,All,2016,1,3,3,4
2016-01-03 04:30:00,,,,,,,,,All,2016,1,3,4,5
2016-01-03 05:30:00,,,,,,,,,All,2016,1,3,5,6
2016-01-03 06:30:00,,,,,,,,,All,2016,1,3,6,7
2016-01-03 07:30:00,,,,,,,,,All,2016,1,3,7,8
2016-01-03 08:30:00,,,,,,,,,All,2016,1,3,8,9
